id,name,country_id,code
state_bd_1,Bagerhat,bd,Bagerhat
state_bd_2,Bandarban,bd,Bandarban
state_bd_3,Barguna,bd,Barguna
state_bd_4,Barisal,bd,Barisal
state_bd_5,Bhola,bd,Bhola
state_bd_6,Bogra,bd,Bogra
state_bd_7,Brahmanbaria,bd,Brahmanbaria
state_bd_8,Chandpur,bd,Chandpur
state_bd_9,Chittagong,bd,Chittagong
state_bd_10,Chuadanga,bd,Chuadanga
state_bd_11,Comilla,bd,Comilla
state_bd_12,Cox's Bazar,bd,Cox's Bazar
state_bd_13,Dhaka,bd,Dhaka
state_bd_14,Dinajpur,bd,Dinajpur
state_bd_15,Faridpur,bd,Faridpur
state_bd_16,Feni,bd,Feni
state_bd_17,Gaibandha,bd,Gaibandha
state_bd_18,Gazipur,bd,Gazipur
state_bd_19,Gopalganj,bd,Gopalganj
state_bd_20,Habiganj,bd,Habiganj
state_bd_21,Jaipurhat,bd,Jaipurhat
state_bd_22,Jamalpur,bd,Jamalpur
state_bd_23,Jessore,bd,Jessore
state_bd_24,Jhalakati,bd,Jhalakati
state_bd_25,Jhenaidah,bd,Jhenaidah
state_bd_26,Khagrachari,bd,Khagrachari
state_bd_27,Khulna,bd,Khulna
state_bd_28,Kishoreganj,bd,Kishoreganj
state_bd_29,Kurigram,bd,Kurigram
state_bd_30,Kushtia,bd,Kushtia
state_bd_31,Lakshmipur,bd,Lakshmipur
state_bd_32,Lalmonirhat,bd,Lalmonirhat
state_bd_33,Madaripur,bd,Madaripur
state_bd_34,Magura,bd,Magura
state_bd_35,Manikganj,bd,Manikganj
state_bd_36,Meherpur,bd,Meherpur
state_bd_37,Moulvibazar,bd,Moulvibazar
state_bd_38,Munshiganj,bd,Munshiganj
state_bd_39,Mymensingh,bd,Mymensingh
state_bd_40,Naogaon,bd,Naogaon
state_bd_41,Narail,bd,Narail
state_bd_42,Narayanganj,bd,Narayanganj
state_bd_43,Narsingdi,bd,Narsingdi
state_bd_44,Natore,bd,Natore
state_bd_45,Nawabganj,bd,Nawabganj
state_bd_46,Netrakona,bd,Netrakona
state_bd_47,Nilphamari,bd,Nilphamari
state_bd_48,Noakhali,bd,Noakhali
state_bd_49,Pabna,bd,Pabna
state_bd_50,Panchagarh,bd,Panchagarh
state_bd_51,Parbattya Chattagram,bd,Parbattya Chattagram
state_bd_52,Patuakhali,bd,Patuakhali
state_bd_53,Pirojpur,bd,Pirojpur
state_bd_54,Rajbari,bd,Rajbari
state_bd_55,Rajshahi,bd,Rajshahi
state_bd_56,Rangpur,bd,Rangpur
state_bd_57,Satkhira,bd,Satkhira
state_bd_58,Shariatpur,bd,Shariatpur
state_bd_59,Sherpur,bd,Sherpur
state_bd_60,Sirajganj,bd,Sirajganj
state_bd_61,Sunamganj,bd,Sunamganj
state_bd_62,Sylhet,bd,Sylhet
state_bd_63,Tangail,bd,Tangail
state_bd_64,Thakurgaon,bd,Thakurgaon
